Ticker,Name,address,latitude,longitude,Price,Climate Chg Pol:Y,Equal Opp Pol:Y,Water Policy,Human Rights Pol:Y,Energy Effic Pol:Y,Bus Ethics Pol:Y,Biodiv Pol:Y,Registered State Location,Product/Geographic Revenue,Revenue T12M,ISIN,ICB Industry Name,ICB Sector Name,Registered Country Location,Total Water Withdrawal,Tot Wtr Use:Y,Tot Wtr Dschgd:Y,Wste Sent to Ldflls:Y,Waste Recycl:Y ,Total Waste:Y,Energy Consump:Y ,GHG Scope 3:Y,GHG Scope 2:Y,GHG Scope 1:Y
EW UN Equity,Edwards Lifesciences Corp,"Newton, Massachusetts",43.1561681,-75.8449946,105.25,0,1,0,0,1,1,0,0,0,2493700096,US28176E1082,Health Care,Health Care Equipment & Services,US,0,310,,,0.735000014,1.986999989,,63930,,52.7820015
EXC UN Equity,Exelon Corp,"Woonsocket, Rhode Island",42.0028761,-71.5147839,34.35,1,1,0,1,1,1,1,0,0,29447000064,US30161N1019,Utilities,Electricity,US,0,52426300,44127400,,26.05450058,,88591.29688,2074.330078,6519,188.5
EXPD UW Equity,Expeditors International of Washington I,"San Diego, California",32.88101605,-117.2311636,47.35,0,1,0,0,1,1,0,0,0,6616632064,US3021301094,Industrials,Industrial Transportation,US,0,,,,,,,39358.19922,,67.79299927
EXPE UW Equity,Expedia Inc,"Atlanta, Georgia",41.0534302,-73.5387341,103.57,0,0,0,1,0,1,0,0,0,6672316928,US30212P3038,Consumer Services,Travel & Leisure,US,0,,,,,,,46600,,57.95199966
EXR UN Equity,Extra Space Storage Inc,"Austin, Texas",36.1556805,-95.9929113,92.7,,,0,,,,,0,0,782270000,US30225T1025,Financials,Real Estate Investment Trusts,US,0,,,,,,,13.79100037,,15779.07422
F UN Equity,Ford Motor Co,"Richmond, Virginia",37.5385087,-77.43428,12.52,1,1,0,1,1,1,1,0,0,1.50E+11,US3453708600,Consumer Goods,Automobiles & Parts,US,0,25100,11400,39.09999847,,,14940,,,
FAST UW Equity,Fastenal Co,"Jacksonville, Florida",30.3321838,-81.655651,46.72,0,0,0,0,1,1,0,0,0,3869187008,US3119001044,Industrials,Support Services,US,0,,,,,,,17.02499962,,13450.90039
FB UW Equity,Facebook Inc,"San Francisco, California",43.1561681,-75.8449946,113.64,1,0,0,0,1,1,0,0,0,17927000064,US30303M1027,Technology,Software & Computer Services,US,0,757.1170044,,,,,1035,,438.2399902,
FCX UN Equity,Freeport-McMoRan Inc,"Sunnyvale, California",37.3688301,-122.0363496,8.85,1,1,1,1,1,1,1,0,0,15876999936,US35671D8570,Basic Materials,Industrial Metals & Mining,US,278250,1325000,44000,226,86,560371,25000,,4300,7.612999916
FDX UN Equity,FedEx Corp,"Camden, New Jersey",39.93935085,-75.13303932,161.28,1,1,1,1,1,1,1,0,0,49500000256,US31428X1063,Industrials,Industrial Transportation,US,0,,,63.31000137,140.9199982,204.2299957,58000.30078,378,970.9810181,385.1159973
FE UN Equity,FirstEnergy Corp,"Austin, Minnesota",43.6680928,-92.9744896,34.76,1,1,0,0,1,1,1,0,0,15025999872,US3379321074,Utilities,Electricity,US,0,,,,,,,3100,,122.4440002
FFIV UW Equity,F5 Networks Inc,"Atlanta, Georgia",33.7490987,-84.3901849,97.72,0,1,0,0,1,1,0,0,0,1946516000,US3156161024,Technology,Technology Hardware & Equipment,US,0,,,0.111400001,0.079400003,0.199699998,26.58469963,183.0399933,7.521900177,556.6530151
FIS UN Equity,Fidelity National Information Services I,"Baltimore, Maryland",39.2908608,-76.6108073,63.89,0,1,0,0,0,1,0,0,0,6595200000,US31620M1062,Industrials,Support Services,US,0,,,,,,,,,
FISV UW Equity,Fiserv Inc,"New York, New York",43.1561681,-75.8449946,100.3,0,1,0,0,0,1,0,0,0,5254000000,US3377381088,Industrials,Support Services,US,0,,,,,,,17600,,82.55400085
FITB UW Equity,Fifth Third Bancorp,"Cincinnati, Ohio",39.1014537,-84.5124602,16.13,1,0,0,0,1,1,0,0,0,7032000128,US3167731005,Financials,Banks,US,0,,,,,,,,247.4259949,
FL UN Equity,Foot Locker Inc,"Merrillville, Indiana",41.4828144,-87.3328139,62.37,0,1,0,0,0,1,0,0,0,7412000128,US3448491049,Consumer Services,General Retailers,US,0,,,,,,,10,,22244.24609
FLIR UW Equity,FLIR Systems Inc,"Dublin, Ireland",40.9039878,-74.118476,32.12,0,1,0,0,0,1,0,0,0,1557067008,US3024451011,Industrials,Aerospace & Defense,US,0,,,,,,,,,
FLR UN Equity,Fluor Corp,"New York, New York",43.1561681,-75.8449946,51.04,0,1,0,1,1,1,0,0,0,18114066432,US3434121022,Industrials,Construction & Materials,US,0,,,,,,,13660,54.10599899,89.22499847
FLS UN Equity,Flowserve Corp,"Memphis, Tennessee",35.1490215,-90.0516285,42.12,0,1,1,1,1,1,0,0,0,4561030144,US34354P1057,Industrials,Industrial Engineering,US,0,,,3.5,10,13.57999992,310.1256104,,,
FMC UN Equity,FMC Corp,"Dublin, Ohio",40.0992294,-83.1140771,36.9,1,1,0,1,1,1,1,0,0,3276500032,US3024913036,Basic Materials,Chemicals,US,0,21433,,,8.260000229,29.60000038,8250.5,2922,,148
FOX UW Equity,Twenty-First Century Fox Inc,"New York, New York",42.3750997,-71.1056157,28.82,0,1,0,0,0,1,0,0,0,26497000448,US90130A2006,Consumer Services,Media,US,0,,,,,,,,473.6530151,
FOXA UW Equity,Twenty-First Century Fox Inc,"Perrysburg, Ohio",41.556996,-83.627157,28.55,0,1,0,0,0,1,0,0,0,26497000448,US90130A1016,Consumer Services,Media,US,0,,,,,,,,473.6530151,
FRT UN Equity,Federal Realty Investment Trust,"Jersey City, New Jersey",43.1561681,-75.8449946,155.86,0,0,0,0,0,1,0,0,0,744012000,US3137472060,Financials,Real Estate Investment Trusts,US,0,,,,,,,203.8769989,,487.0820007
FSLR UW Equity,First Solar Inc,"Fremont, California",37.5482697,-121.9885719,61.26,0,1,0,1,1,1,1,0,0,3578995040,US3364331070,Oil & Gas,Alternative Energy,US,2820,2820,1410,,16.48999977,21.54000092,608.8319702,,320.302002,
FTI UN Equity,FMC Technologies Inc,"New York, New York",43.1561681,-75.8449946,26.8,0,0,0,0,0,1,0,0,0,6362699904,US30249U1016,Oil & Gas,"Oil Equipment, Services & Distribution",US,0,,,,,,,,,
FTR UW Equity,Frontier Communications Corp,"New York, New York",43.1561681,-75.8449946,5.34,0,1,0,1,0,1,0,0,0,5576000000,US35906A1088,Telecommunications,Fixed Line Telecommunications,US,0,,,,,,,,,
GAS UN Equity,AGL Resources Inc,"New York, New York",43.1561681,-75.8449946,65.24,0,1,0,0,0,1,0,0,0,3940999936,US0012041069,Utilities,"Gas, Water & Multiutilities",US,0,50000,,,,,69.23600006,,,
GD UN Equity,General Dynamics Corp,"Los Angeles, California",34.07088865,-118.4467319,131.39,0,1,0,1,0,1,0,0,0,31468999680,US3695501086,Industrials,Aerospace & Defense,US,0,,,,,,,,,34.65399933
GE UN Equity,General Electric Co,"Harrison, New York",41.0307962,-73.7189266,30.63,1,1,0,1,1,1,1,0,0,1.25E+11,US3696041033,Industrials,General Industrials,US,0,84867,,159.0899963,84.38999939,369.1099854,14540,,3019,
GGP UN Equity,General Growth Properties Inc,"Milpitas, California",37.4282724,-121.9066238,28.76,0,1,0,0,1,1,0,0,0,2404081984,US3700231034,Financials,Real Estate Investment Trusts,US,0,10550,,99.69999695,33.5,148,1227.194946,,607,
GILD UW Equity,Gilead Sciences Inc,"Fort Worth, Texas",32.753177,-97.3327459,95.57,0,0,0,0,0,1,0,0,0,32638999552,US3755581036,Health Care,Pharmaceuticals & Biotechnology,US,0,,,,,,,,34.56700134,
